from_station,from_station_lat,from_station_lng
Emilii Plater - Złota,52.230978,21.003676
Branickiego - Ledóchowskiej,52.155439,21.073689
Rondo Wiatraczna,52.244564,21.083806
Szaserów – Garwolińska,52.249684,21.092105
Żelazna - Chłodna,52.237314,20.988849
Plac Na Rozdrożu,52.219962,21.02583
Czerniakowska- Szwoleżerów,52.215851,21.046341
Stryjeńskich - Belgradzka,52.137604,21.050553
Darwina - Nusbauma-Hilarowicza,52.26421,21.02618
Metro Księcia Janusza,52.239541,20.942309
Metro Słodowiec,52.276157,20.961667
Park Kultury w Powsinie,52.11625,21.087655
Książęca - Rozbrat,52.230087,21.030236
Grójecka - PKP Rakowiec,52.198639,20.965252
Metro Stokłosy,52.156867,21.03384
Brukselska - PROM,52.22585,21.060062
Powstańców Śląskich - Wrocławska,52.257631,20.91931
Rondo Jazdy Polskiej,52.217486,21.014295
al. Lotników - Modzelewskiego,52.174435,21.012881
Wybrzeże Szczecińskie - Stadion Narodowy,52.237208,21.043758
Francuska - Walecznych,52.234745,21.053651
Westfield Mokotów ,52.178689,21.002814
Żwirki i Wigury - Woronicza,52.194579,20.982139
Metro Ursynów,52.162258,21.028076
Św. Wincentego – Kołowa,52.273679,21.043095
Procter & Gamble,52.260904,21.072881
al. Jana Pawła II - Anielewicza,52.247017,20.989516
Plac Unii Lubelskiej,52.213238,21.021057
Metro Bemowo,52.239503,20.913805
Rondo Waszyngtona - Stadion Narodowy,52.238733,21.050845
Miasteczko Orange,52.208525,20.946525
Metro Trocka,52.275799,21.056083
Broniewskiego - Perzyńskiego,52.270634,20.950477
Górczewska - Płocka,52.23734,20.965578
Obozowa - Radziwie,52.246037,20.962463
Kruczkowskiego – PKP Powiśle,52.233971,21.029991
Metro Racławicka,52.199416,21.012138
Przyczółkowa - Branickiego,52.159374,21.086449
Metro Bródno,52.293889,21.027245
Ordona,52.225261,20.952359
Powązkowska - Krasińskiego,52.259323,20.960551
Senatorska - Bielańska,52.243571,21.006692
al. Jana Pawła II - Stawki,52.251471,20.985705
Myśliwiecka - Rozbrat,52.222113,21.034387
Belwederska - Gagarina,52.207179,21.031355
Czerniakowska - Gagarina,52.207728,21.047833
Arkadia,52.25574,20.984343
Metro Wawrzyszew,52.285914,20.940561
Broniewskiego - Krasińskiego,52.264398,20.972318
al. Reymonta - Conrada,52.270941,20.932627
Targowa - Kijowska,52.249865,21.042911
al. Jerozolimskie - Niemcewicza,52.22206,20.979201
Sobieskiego - Chełmska,52.201936,21.036893
11 listopada - Inżynierska,52.258547,21.035176
Powązkowska - Plac Niemena,52.256315,20.968231
Krucza - Wspólna,52.228266,21.017897
Plac Hallera - Dąbrowszczaków,52.261381,21.030544
Poznańska - Zespół Szkół Gastronomicznych,52.223582,21.012871
Białołęka - Ratusz,52.321127,20.971296
Koneser,52.25602,21.046219
